superpop,pathway,n_genes,n_below,expected_below,fold,perm_p,q
AFR,GO:Cardiac Muscle Hypertrophy (GO:0003300),6,3,0.5570375019613997,5.385633802816901,0.0133,1.0
AFR,GO:Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),11,4,1.021235420262566,3.9168245838668376,0.0134,1.0
AFR,GO:Regulation Of NK T Cell Proliferation (GO:0051140),6,3,0.5570375019613997,5.385633802816901,0.0137,1.0
AFR,GO:Mitochondrial Membrane Organization (GO:0007006),29,7,2.692347926146765,2.5999611461874697,0.01495,1.0
AFR,GO:Positive Regulation Of Protein Maturation (GO:1903319),11,4,1.021235420262566,3.9168245838668376,0.0153,1.0
AFR,GO:Positive Regulation Of Double-Strand Break Repair (GO:2000781),81,14,7.520006276478895,1.86170057381325,0.0154,1.0
AFR,GO:Negative Regulation Of Innate Immune Response (GO:0045824),50,10,4.641979183011664,2.1542535211267606,0.0155,1.0
AFR,KEGG:Cushing syndrome,154,23,14.297295883675924,1.6086958112310226,0.0156,1.0
AFR,GO:Histone Lysine Methylation (GO:0034968),29,7,2.692347926146765,2.5999611461874697,0.01605,1.0
AFR,GO:Neuron Differentiation (GO:0030182),163,24,15.132852136618023,1.5859535124859587,0.01605,1.0
AFR,GO:Positive Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903052),29,7,2.692347926146765,2.5999611461874697,0.0163,1.0
AFR,GO:Regulation Of Stem Cell Differentiation (GO:2000736),44,9,4.084941681050264,2.203213828425096,0.017,1.0
AFR,GO:Regulation Of Axon Extension Involved In Axon Guidance (GO:0048841),23,6,2.135310424185365,2.8098958971218617,0.0171,1.0
AFR,GO:Inner Mitochondrial Membrane Organization (GO:0007007),30,7,2.785187509806998,2.5132957746478874,0.0174,1.0
AFR,GO:Regulation Of DNA-templated Transcription Elongation (GO:0032784),43,9,3.9921020973900307,2.2544513593187028,0.01775,1.0
AFR,GO:Glial Cell Development (GO:0021782),23,6,2.135310424185365,2.8098958971218617,0.0179,1.0
AFR,GO:Positive Regulation Of Neuron Apoptotic Process (GO:0043525),23,6,2.135310424185365,2.8098958971218617,0.0183,1.0
AFR,GO:Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),59,11,5.477535435953763,2.008202434948675,0.01865,1.0
AFR,GO:Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),352,45,32.67953344840211,1.3770086427656851,0.019,1.0
AFR,GO:Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),115,18,10.676552120926827,1.685937538273117,0.0191,1.0
AFR,GO:Positive Regulation Of Apoptotic Cell Clearance (GO:2000427),7,3,0.6498770856216329,4.61625754527163,0.01925,1.0
AFR,GO:Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),37,8,3.435064595428631,2.328922725542444,0.01935,1.0
AFR,GO:Regulation Of Presynapse Organization (GO:0099174),12,4,1.1140750039227993,3.5904225352112675,0.0194,1.0
AFR,GO:Regulation Of G0 To G1 Transition (GO:0070316),31,7,2.8780270934672316,2.4322217174011813,0.01975,1.0
AFR,GO:Regulation Of Presynapse Assembly (GO:1905606),12,4,1.1140750039227993,3.5904225352112675,0.0199,1.0
AFR,GO:Regulation Of Actin Polymerization Or Depolymerization (GO:0008064),24,6,2.2281500078455987,2.6928169014084506,0.02,1.0
AFR,GO:Regulation Of DNA-templated DNA Replication Initiation (GO:0030174),12,4,1.1140750039227993,3.5904225352112675,0.0202,1.0
AFR,GO:Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342),7,3,0.6498770856216329,4.61625754527163,0.02045,1.0
AFR,GO:Negative Regulation Of Actin Nucleation (GO:0051126),7,3,0.6498770856216329,4.61625754527163,0.0208,1.0
AFR,GO:Regulation Of Cell Fate Commitment (GO:0010453),12,4,1.1140750039227993,3.5904225352112675,0.02095,1.0
AFR,GO:Regulation Of Cell Cycle Process (GO:0010564),125,19,11.60494795752916,1.637232676056338,0.0211,1.0
AFR,GO:Negative Regulation Of Striated Muscle Cell Apoptotic Process (GO:0010664),7,3,0.6498770856216329,4.61625754527163,0.02115,1.0
AFR,GO:Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0099625),7,3,0.6498770856216329,4.61625754527163,0.02145,1.0
AFR,KEGG:Transcriptional misregulation in cancer,184,26,17.08248339348292,1.522026944274342,0.02165,1.0
AFR,KEGG:Human T-cell leukemia virus 1 infection,211,29,19.58915215230922,1.4804111875041719,0.0219,1.0
AFR,GO:Chromatin Organization (GO:0006325),247,33,22.93137716407762,1.4390762388093743,0.02235,1.0
AFR,KEGG:Glucagon signaling pathway,100,16,9.283958366023327,1.7234028169014084,0.02245,1.0
AFR,GO:Vesicle Cargo Loading (GO:0035459),25,6,2.320989591505832,2.585104225352113,0.02245,1.0
AFR,GO:protein-DNA Complex Organization (GO:0071824),53,10,4.920497933992364,2.0323146425724157,0.02285,1.0
AFR,GO:Dopaminergic Neuron Differentiation (GO:0071542),19,5,1.7639520895444323,2.8345441067457373,0.0247,1.0
AFR,GO:Cell Cycle G2/M Phase Transition (GO:0044839),39,8,3.6207437627490977,2.209490790899242,0.02485,1.0
AFR,GO:Regulation Of Notch Signaling Pathway (GO:0008593),69,12,6.405931272556096,1.8732639314145745,0.02495,1.0
AFR,KEGG:Base excision repair,32,7,2.9708666771274648,2.3562147887323945,0.0253,1.0
AFR,KEGG:Melanogenesis,101,16,9.37679794968356,1.706339422674662,0.02545,1.0
AFR,GO:Aminoglycan Catabolic Process (GO:0006026),13,4,1.2069145875830325,3.3142361863488627,0.0256,1.0
AFR,GO:snRNA 3'-End Processing (GO:0034472),19,5,1.7639520895444323,2.8345441067457373,0.0256,1.0
AFR,GO:Regulation Of Plasma Membrane Bounded Cell Projection Organization (GO:0120035),25,6,2.320989591505832,2.585104225352113,0.0258,1.0
AFR,GO:Phosphatidylinositol 3-Kinase Signaling (GO:0014065),32,7,2.9708666771274648,2.3562147887323945,0.02615,1.0
AFR,GO:Positive Regulation Of Gene Expression (GO:0010628),462,56,42.89188765102777,1.305608194622279,0.0262,1.0
AFR,GO:Protein Deacylation (GO:0035601),19,5,1.7639520895444323,2.8345441067457373,0.0262,1.0
AFR,GO:Positive Regulation Of Histone Acetylation (GO:0035066),13,4,1.2069145875830325,3.3142361863488627,0.02675,1.0
AFR,GO:Establishment Of Skin Barrier (GO:0061436),19,5,1.7639520895444323,2.8345441067457373,0.02725,1.0
AFR,GO:Negative Regulation Of Axon Extension Involved In Axon Guidance (GO:0048843),19,5,1.7639520895444323,2.8345441067457373,0.0274,1.0
AFR,GO:Cellular Modified Amino Acid Catabolic Process (GO:0042219),13,4,1.2069145875830325,3.3142361863488627,0.0289,1.0
AFR,GO:Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),33,7,3.063706260787698,2.2848143405889885,0.02925,1.0
AFR,GO:Cardiac Left Ventricle Morphogenesis (GO:0003214),13,4,1.2069145875830325,3.3142361863488627,0.0293,1.0
AFR,GO:Regulation Of Nucleotide-Excision Repair (GO:2000819),26,6,2.413829175166065,2.485677139761647,0.0301,1.0
AFR,GO:Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:0003198),8,3,0.7427166692818662,4.039225352112676,0.03015,1.0
AFR,KEGG:Progesterone-mediated oocyte maturation,96,15,8.912600031382395,1.6830105633802817,0.03075,1.0
AFR,GO:Regulation Of Mitochondrial Gene Expression (GO:0062125),8,3,0.7427166692818662,4.039225352112676,0.0311,1.0
AFR,GO:Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629),8,3,0.7427166692818662,4.039225352112676,0.03165,1.0
AFR,GO:Hyaluronan Catabolic Process (GO:0030214),8,3,0.7427166692818662,4.039225352112676,0.0318,1.0
AFR,GO:Positive Regulation Of Synapse Maturation (GO:0090129),8,3,0.7427166692818662,4.039225352112676,0.03195,1.0
AFR,GO:Integrin Activation (GO:0033622),8,3,0.7427166692818662,4.039225352112676,0.0324,1.0
AFR,GO:Protein Localization To Golgi Apparatus (GO:0034067),27,6,2.5066687588262986,2.393615023474178,0.0325,1.0
AFR,GO:Glycosaminoglycan Catabolic Process (GO:0006027),14,4,1.2997541712432659,3.0775050301810865,0.0331,1.0
AFR,GO:SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146),41,8,3.8064229300695644,2.1017107523187906,0.03365,1.0
AFR,GO:Regulation Of mRNA Metabolic Process (GO:1903311),14,4,1.2997541712432659,3.0775050301810865,0.03375,1.0
AFR,GO:Protein Insertion Into ER Membrane (GO:0045048),27,6,2.5066687588262986,2.393615023474178,0.03385,1.0
AFR,GO:Protein Kinase A Signaling (GO:0010737),14,4,1.2997541712432659,3.0775050301810865,0.03385,1.0
AFR,GO:Regulation Of Translation (GO:0006417),193,26,17.918039646425022,1.4510515945413414,0.03395,1.0
AFR,GO:Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062207),8,3,0.7427166692818662,4.039225352112676,0.0343,1.0
AFR,GO:Stem Cell Development (GO:0048864),14,4,1.2997541712432659,3.0775050301810865,0.03585,1.0
AFR,GO:Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),436,52,40.47805847586171,1.2846465951673343,0.03645,1.0
AFR,GO:snRNA Metabolic Process (GO:0016073),21,5,1.9496312568648988,2.5645875251509054,0.0371,1.0
AFR,GO:Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071),49,9,4.54913959935143,1.9783960908306986,0.03725,1.0
AFR,GO:Hyaluronan Metabolic Process (GO:0030212),14,4,1.2997541712432659,3.0775050301810865,0.03735,1.0
AFR,GO:Membrane Repolarization During Cardiac Muscle Cell Action Potential (GO:0086013),14,4,1.2997541712432659,3.0775050301810865,0.03765,1.0
AFR,GO:Regulation Of Erythrocyte Differentiation (GO:0045646),35,7,3.2493854281081647,2.1542535211267606,0.0382,1.0
AFR,KEGG:Glioma,74,12,6.870129190857262,1.746692044156833,0.0383,1.0
AFR,GO:Positive Regulation Of Microtubule Polymerization (GO:0031116),28,6,2.5995083424865317,2.308128772635815,0.03875,1.0
AFR,GO:Regulation Of Smoothened Signaling Pathway (GO:0008589),50,9,4.641979183011664,1.9388281690140845,0.0393,1.0
AFR,GO:Positive Regulation Of Smoothened Signaling Pathway (GO:0045880),21,5,1.9496312568648988,2.5645875251509054,0.03955,1.0
AFR,"KEGG:Glycine, serine and threonine metabolism",35,7,3.2493854281081647,2.1542535211267606,0.0399,1.0
AFR,KEGG:Oocyte meiosis,125,18,11.60494795752916,1.5510625352112677,0.04045,1.0
AFR,GO:Histone Deacetylation (GO:0016575),28,6,2.5995083424865317,2.308128772635815,0.04045,1.0
AFR,GO:Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236),59,10,5.477535435953763,1.8256385772260681,0.04085,1.0
AFR,GO:Skin Epidermis Development (GO:0098773),21,5,1.9496312568648988,2.5645875251509054,0.0409,1.0
AFR,GO:Cellular Response To Increased Oxygen Levels (GO:0036295),9,3,0.8355562529420995,3.5904225352112675,0.04125,1.0
AFR,GO:Positive Regulation Of Fibroblast Proliferation (GO:0048146),28,6,2.5995083424865317,2.308128772635815,0.04245,1.0
AFR,GO:Regulation Of Amyloid-Beta Clearance (GO:1900221),15,4,1.392593754903499,2.8723380281690143,0.04275,1.0
AFR,GO:Positive Regulation Of Lipase Activity (GO:0060193),9,3,0.8355562529420995,3.5904225352112675,0.04295,1.0
AFR,GO:Regulation Of High Voltage-Gated Calcium Channel Activity (GO:1901841),9,3,0.8355562529420995,3.5904225352112675,0.04295,1.0
AFR,GO:Regulation Of Cell Cycle (GO:0051726),279,35,25.902243841205085,1.3512342874451007,0.0433,1.0
AFR,GO:Pinocytosis (GO:0006907),9,3,0.8355562529420995,3.5904225352112675,0.04395,1.0
AFR,GO:Regulation Of Bicellular Tight Junction Assembly (GO:2000810),15,4,1.392593754903499,2.8723380281690143,0.04475,1.0
AFR,GO:Positive Regulation Of Tissue Remodeling (GO:0034105),9,3,0.8355562529420995,3.5904225352112675,0.045,1.0
AFR,GO:Positive Regulation Of Epidermis Development (GO:0045684),9,3,0.8355562529420995,3.5904225352112675,0.04505,1.0
AFR,GO:Negative Regulation Of Myeloid Cell Differentiation (GO:0045638),22,5,2.042470840525132,2.4480153649167735,0.04515,1.0
AFR,GO:Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903322),75,12,6.9629687745174955,1.7234028169014084,0.0459,1.0
AFR,GO:Myelin Maintenance (GO:0043217),9,3,0.8355562529420995,3.5904225352112675,0.0462,1.0
AFR,GO:Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),310,38,28.780270934672316,1.3203489323034985,0.0464,1.0
AFR,KEGG:Alcoholism,171,23,15.87556880589989,1.4487669878922658,0.0475,1.0
AFR,GO:Positive Regulation Of Inflammatory Response (GO:0050729),101,15,9.37679794968356,1.5996932087574955,0.04815,1.0
AFR,GO:Integrated Stress Response Signaling (GO:0140467),29,6,2.692347926146765,2.2285381253035457,0.0489,1.0
AFR,GO:Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904029),52,9,4.82765835033213,1.8642578548212352,0.0498,1.0
AFR,GO:Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),164,22,15.225691720278258,1.4449261422191686,0.0503,1.0
AFR,GO:Regulation Of Neuron Apoptotic Process (GO:0043523),103,15,9.562477117004027,1.568631204703952,0.0513,1.0
AFR,GO:Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),77,12,7.148647941837962,1.678639107371502,0.0521,1.0
AFR,GO:Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438),30,6,2.785187509806998,2.1542535211267606,0.0535,1.0
AFR,GO:Regulation Of Nucleocytoplasmic Transport (GO:0046822),16,4,1.4854333385637324,2.6928169014084506,0.05355,1.0
AFR,GO:Negative Regulation Of TOR Signaling (GO:0032007),53,9,4.920497933992364,1.829083178315174,0.05395,1.0
