pathway,n_genes,n_below,expected_below,fold_enrichment,mean_rank_pct,perm_p,q_value,significant_fdr05
GO_BP:Positive Regulation By Host Of Viral Process (GO:0044794),16,5,1.4929040457530185,3.349177071509648,43.019690181668366,0.013399866001339987,1.0,False
GO_BP:Response To Increased Oxygen Levels (GO:0036296),6,3,0.5598390171573819,5.358683314415437,25.554344732665374,0.013509864901350987,1.0,False
GO_BP:Protein Modification By Small Protein Conjugation (GO:0032446),344,45,32.097436983689896,1.4019810997017133,43.262727650785266,0.014209857901420986,1.0,False
GO_BP:Negative Regulation Of Myotube Differentiation (GO:0010832),11,4,1.0263715314552002,3.897224228665772,39.15580390645831,0.014429855701442985,1.0,False
GO_BP:Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039),11,4,1.0263715314552002,3.897224228665772,34.2031307491727,0.014519854801451985,1.0,False
KEGG:Cell cycle,120,19,11.196780343147639,1.6969163828982217,39.005271267094244,0.015179848201517986,1.0,False
GO_BP:Positive Regulation Of Protein Targeting To Membrane (GO:0090314),23,6,2.146049565769964,2.795834772738489,42.98919237237662,0.016009839901600983,1.0,False
GO_BP:Negative Regulation Of Striated Muscle Cell Differentiation (GO:0051154),17,5,1.5862105486125821,3.152166655538492,42.27319903085953,0.016159838401615983,1.0,False
GO_BP:Muscle Cell Differentiation (GO:0042692),36,8,3.3590341029442916,2.381637028629083,44.97640062703351,0.016259837401625985,1.0,False
KEGG:Nucleotide excision repair,43,9,4.012179622961237,2.243169759522741,38.39564543897696,0.016299837001629985,1.0,False
GO_BP:Negative Regulation Of T Cell Receptor Signaling Pathway (GO:0050860),17,5,1.5862105486125821,3.152166655538492,36.08024767235836,0.016529834701652982,1.0,False
GO_BP:Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),17,5,1.5862105486125821,3.152166655538492,39.9741347956375,0.017439825601743984,1.0,False
GO_BP:Positive Regulation Of Translation (GO:0045727),97,16,9.050730777377675,1.7678130521782884,40.36160846085892,0.017949820501794982,1.0,False
GO_BP:Inner Mitochondrial Membrane Organization (GO:0007007),30,7,2.7991950857869097,2.5007188800605373,38.3022268168701,0.018179818201817983,1.0,False
GO_BP:DNA-templated DNA Replication (GO:0006261),66,12,6.158229188731202,1.948612114332886,44.601465252039155,0.01819981800181998,1.0,False
KEGG:Metabolism of xenobiotics by cytochrome P450,74,13,6.904681211607711,1.882780623983802,46.88386991457958,0.018549814501854982,1.0,False
GO_BP:Regulation Of Response To Biotic Stimulus (GO:0002831),30,7,2.7991950857869097,2.5007188800605373,42.323881167428006,0.01878981210187898,1.0,False
GO_BP:Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),351,45,32.750582503706845,1.3740213626706248,44.17367572819384,0.01893981060189398,1.0,False
GO_BP:Positive Regulation Of Locomotion (GO:0040017),30,7,2.7991950857869097,2.5007188800605373,38.994734633190845,0.01934980650193498,1.0,False
KEGG:Viral carcinogenesis,191,27,17.82154204617666,1.515020413499652,39.120650507639475,0.01970980290197098,1.0,False
GO_BP:V(D)J Recombination (GO:0033151),12,4,1.1196780343147639,3.5724555429436244,35.148956674683795,0.02028979710202898,1.0,False
GO_BP:Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385),12,4,1.1196780343147639,3.5724555429436244,43.65410555006836,0.020819791802081978,1.0,False
GO_BP:Regulation Of Glucan Biosynthetic Process (GO:0010962),7,3,0.6531455200169456,4.5931571266418025,26.626840646737236,0.020819791802081978,1.0,False
GO_BP:Positive Regulation Of Apoptotic Cell Clearance (GO:2000427),7,3,0.6531455200169456,4.5931571266418025,38.710182402645025,0.021149788502114977,1.0,False
GO_BP:Regulation Of DNA Methylation (GO:0044030),7,3,0.6531455200169456,4.5931571266418025,36.212855896006396,0.021229787702122978,1.0,False
GO_BP:Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0099625),7,3,0.6531455200169456,4.5931571266418025,47.09883222325591,0.02128978710212898,1.0,False
GO_BP:Regulation Of Heterochromatin Formation (GO:0031445),7,3,0.6531455200169456,4.5931571266418025,22.46377119001497,0.02138978610213898,1.0,False
GO_BP:Regulation Of Epidermal Cell Differentiation (GO:0045604),18,5,1.6795170514721458,2.9770462857863538,42.54702980878815,0.021629783702162977,1.0,False
